Cluster Number,Max Value,Num Voxels,Percentage of Voxel,MNI Coordinates,Region Name,ROI_Idx,ROI_name,Conectivity
17,-15.0,51,18.95910780669145, -18 30 42,A8dl_L,48,A11m_R,-1
17,-11.0,3,1.3157894736842106, -12 39 45,A9l_L,48,A11m_R,-1
18,-10.0,3,1.3157894736842106, -18 48 39,A9l_L,48,A11m_R,-1
18,-11.0,1,0.32051282051282054, -21 48 39,A9/46d_L,48,A11m_R,-1
19,-10.0,3,1.0380622837370241, -27 15 48,A8vl_L,48,A11m_R,-1
20,-12.0,12,3.8338658146964857, -39 -78 27,A39c_L,48,A11m_R,-1
20,-13.0,96,21.145374449339208, -45 -72 24,A39rv_L,48,A11m_R,-1
20,-10.0,4,1.7857142857142858, -48 -72 15,V5/MT+_L,48,A11m_R,-1
21,-11.0,1,0.4166666666666667, -39 9 48,IFJ_L,48,A11m_R,-1
21,-12.0,6,3.0927835051546393, -36 3 48,A6vl_L,48,A11m_R,-1
22,-15.0,21,12.962962962962964, -66 -18 -21,A21c_L,48,A11m_R,-1
22,-12.0,5,2.202643171806167, -60 -12 -21,A21r_L,48,A11m_R,-1
22,-17.0,21,8.01526717557252, -57 -12 -18,aSTS_L,48,A11m_R,-1
22,-14.0,1,0.8, -63 -18 -21,A20il_L,48,A11m_R,-1
1,-12.0,5,2.6315789473684212, -63 -36 3,A22c_L,51,A12/47l_L,-1
1,-11.0,3,1.8518518518518519, -66 -39 0,A21c_L,51,A12/47l_L,-1
1,-10.0,25,9.541984732824428, -60 -36 -3,aSTS_L,51,A12/47l_L,-1
1,-12.0,9,10.843373493975903, -54 -36 0,rpSTS_L,51,A12/47l_L,-1
1,-11.0,5,3.4246575342465753, 60 -3 42,A4hf_R,53,A4hf_L,-1
1,-13.0,2,0.7490636704119851, 60 -6 42,A1/2/3ulhf_R,53,A4hf_L,-1
1,-11.0,3,1.5151515151515151, -12 -39 75,A1/2/3tru_L,65,A1/2/3ll_L,-1
2,-10.0,2,2.4390243902439024, -15 -24 78,A4t_L,65,A1/2/3ll_L,-1
3,-10.0,1,0.5050505050505051, -21 -27 75,A1/2/3tru_L,65,A1/2/3ll_L,-1
4,-10.0,5,1.6286644951140066, -54 -30 48,A40rd_L,65,A1/2/3ll_L,-1
4,-10.0,2,0.7220216606498195, -54 -18 48,A1/2/3ulhf_L,65,A1/2/3ll_L,-1
4,-10.0,9,4.245283018867925, -54 -24 45,A2_L,65,A1/2/3ll_L,-1
1,-11.0,1,0.5780346820809249, -15 -42 72,A5m_L,66,A1/2/3ll_R,-1
1,-11.0,4,2.0202020202020203, -15 -39 72,A1/2/3tru_L,66,A1/2/3ll_R,-1
1,-10.0,3,2.9702970297029703, -12 -39 69,A1/2/3ll_L,67,A4ll_L,-1
1,-13.0,9,4.545454545454546, -18 -39 69,A1/2/3tru_L,67,A4ll_L,-1
1,-11.0,7,3.1531531531531534, 21 36 39,A8dl_R,69,A38m_L,-1
1,-12.0,25,8.928571428571429, 18 45 39,A9l_R,69,A38m_L,-1
1,-10.0,1,0.44642857142857145, -3 45 33,A9m_L,69,A38m_L,-1
1,-11.0,17,7.053941908713693, 3 45 33,A9m_R,69,A38m_L,-1
1,-10.0,11,3.793103448275862, 24 42 36,A9/46d_R,69,A38m_L,-1
2,-10.0,1,0.3125, 9 -69 30,dmPOS_R,69,A38m_L,-1
3,-11.0,1,1.25, 9 -45 15,A23v_R,69,A38m_L,-1
4,-10.0,1,0.35714285714285715, 9 45 45,A9l_R,69,A38m_L,-1
5,-10.0,2,0.8298755186721992, 6 48 24,A9m_R,69,A38m_L,-1
5,-10.0,4,1.2539184952978057, 0 48 21,A10m_L,69,A38m_L,-1
5,-11.0,12,4.8582995951417, 6 48 18,A10m_R,69,A38m_L,-1
6,-10.0,1,0.31347962382445144, -3 45 21,A10m_L,69,A38m_L,-1
7,-10.0,2,2.4096385542168677, -48 -39 0,rpSTS_L,69,A38m_L,-1
8,-10.0,1,1.2048192771084338, -63 -36 9,rpSTS_L,69,A38m_L,-1
1,-10.0,1,0.2604166666666667, 54 -36 30,A40rv_R,70,A38m_R,-1
2,-10.0,1,0.36231884057971014, 45 -54 42,A39rd_R,70,A38m_R,-1
2,-10.0,5,1.243781094527363, 51 -57 42,A39rv_R,70,A38m_R,-1
3,-10.0,1,0.2604166666666667, 51 -36 27,A40rv_R,70,A38m_R,-1
4,-10.0,10,4.149377593360996, 6 42 36,A9m_R,70,A38m_R,-1
5,-10.0,1,0.44642857142857145, -9 45 30,A9m_L,70,A38m_R,-1
5,-11.0,12,3.761755485893417, -6 45 21,A10m_L,70,A38m_R,-1
5,-11.0,7,4.929577464788732, -6 42 18,A32p_L,70,A38m_R,-1
6,-10.0,1,0.44642857142857145, -6 45 33,A9m_L,70,A38m_R,-1
7,-10.0,2,0.7722007722007722, -15 -66 21,dmPOS_L,70,A38m_R,-1
7,-10.0,3,1.0, -15 -66 18,vmPOS_L,70,A38m_R,-1
8,-10.0,1,0.7299270072992701, -48 -39 21,A41/42_L,70,A38m_R,-1
1,-10.0,1,0.3021148036253776, -42 -24 15,A40rv_L,79,A22r_L,-1
1,-10.0,2,1.1111111111111112, -42 -21 15,A1/2/3tonIa_L,79,A22r_L,-1
1,-11.0,1,0.29239766081871343, 60 -18 -15,aSTS_R,81,A21c_L,-1
2,-10.0,2,1.0416666666666667, 57 -18 -18,A21c_R,81,A21c_L,-1
2,-11.0,2,0.6644518272425249, 60 -12 -21,A21r_R,81,A21c_L,-1
2,-11.0,1,0.29239766081871343, 57 -12 -18,aSTS_R,81,A21c_L,-1
3,-10.0,1,0.29673590504451036, 51 -69 36,A39c_R,81,A21c_L,-1
3,-10.0,3,1.0869565217391304, 48 -69 36,A39rd_R,81,A21c_L,-1
3,-14.0,17,4.2288557213930345, 54 -63 33,A39rv_R,81,A21c_L,-1
4,-11.0,2,0.4975124378109453, 57 -57 24,A39rv_R,81,A21c_L,-1
5,-10.0,1,0.33222591362126247, 45 9 -39,A21r_R,81,A21c_L,-1
6,-10.0,1,0.5494505494505495, 42 18 39,IFJ_R,81,A21c_L,-1
7,-10.0,3,2.272727272727273, 42 48 -15,A12/47o_R,81,A21c_L,-1
8,-12.0,2,0.19138755980861244, 24 -78 -33,Right Crus I,81,A21c_L,-1
8,-10.0,3,0.4126547455295736, 24 -84 -36,Right Crus II,81,A21c_L,-1
9,-10.0,16,6.639004149377594, -9 21 51,A8m_L,81,A21c_L,-1
9,-17.0,10,4.291845493562231, 12 24 57,A8m_R,81,A21c_L,-1
9,-17.0,183,68.02973977695167, -18 24 51,A8dl_L,81,A21c_L,-1
9,-13.0,55,24.774774774774773, 21 30 48,A8dl_R,81,A21c_L,-1
9,-17.0,87,38.1578947368421, -12 45 39,A9l_L,81,A21c_L,-1
9,-12.0,77,27.5, 15 45 39,A9l_R,81,A21c_L,-1
9,-15.0,5,2.4630541871921183, -15 12 60,A6dl_L,81,A21c_L,-1
9,-17.0,124,55.357142857142854, -3 36 36,A9m_L,81,A21c_L,-1
9,-12.0,83,34.439834024896264, 6 42 30,A9m_R,81,A21c_L,-1
9,-12.0,80,25.078369905956112, -6 48 24,A10m_L,81,A21c_L,-1
9,-11.0,41,16.59919028340081, 6 54 21,A10m_R,81,A21c_L,-1
9,-10.0,26,8.333333333333334, -21 42 33,A9/46d_L,81,A21c_L,-1
